Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-HIP-KNEE-HRRP,1147,,3.0605,3.6516,32,07/01/2017,12/01/2019
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CRYSTAL CLINIC ORTHOPAEDIC CENTER,360351,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-HIP-KNEE-HRRP,403,,3.5144,4.2015,11,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SURGICAL HOSPITAL AT SOUTHWOODS,360352,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-PN-HRRP,485,,16.2804,16.5005,78,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-HF-HRRP,374,,21.7192,20.5033,85,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-AMI-HRRP,105,,17.4717,16.7158,21,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-HIP-KNEE-HRRP,228,,4.5413,4.1425,12,07/01/2017,12/01/2019
WEST CHESTER HOSPITAL,360354,OH,READM-30-COPD-HRRP,223,,22.0717,20.9471,54,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-HIP-KNEE-HRRP,N/A,,4.7072,5.1317,Too Few to Report,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
OHIO VALLEY SURGICAL HOSPITAL,360355,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DILEY RIDGE MEDICAL CENTER,360358,OH,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-HF-HRRP,458,,23.0554,21.9117,109,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-AMI-HRRP,111,,14.3411,14.8191,14,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-CABG-HRRP,N/A,,11.8888,12.4023,Too Few to Report,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-PN-HRRP,398,,15.4371,16.2063,58,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-HIP-KNEE-HRRP,450,,3.7850,4.2421,15,07/01/2017,12/01/2019
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,360359,OH,READM-30-COPD-HRRP,149,,20.4838,20.3754,31,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-PN-HRRP,280,,16.0187,16.4428,43,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-HF-HRRP,312,,22.4907,21.5471,73,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-COPD-HRRP,146,,20.7749,20.1640,33,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-AMI-HRRP,113,,15.5854,14.9664,20,07/01/2017,12/01/2019
SOIN MEDICAL CENTER,360360,OH,READM-30-HIP-KNEE-HRRP,N/A,,4.9888,4.3153,Too Few to Report,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-HIP-KNEE-HRRP,N/A,,5.2842,5.0166,Too Few to Report,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KINGS DAUGHTERS MEDICAL CENTER OHIO,360361,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-PN-HRRP,420,,16.3942,16.8231,67,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-HIP-KNEE-HRRP,295,,5.4001,4.8160,18,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-COPD-HRRP,214,,19.5593,20.6468,37,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
CLEVELAND CLINIC AVON HOSPITAL,360364,OH,READM-30-HF-HRRP,467,,23.6353,22.7318,113,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-PN-HRRP,N/A,,15.9147,16.9831,Too Few to Report,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-HIP-KNEE-HRRP,N/A,,3.1278,4.2706,Too Few to Report,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-COPD-HRRP,N/A,,18.2279,18.6551,Too Few to Report,07/01/2017,12/01/2019
AVITA ONTARIO,360365,OH,READM-30-HF-HRRP,N/A,,19.4079,20.4990,Too Few to Report,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LAKE HEALTH BEACHWOOD MEDICAL CENTER,360367,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KETTERING MEDICAL CENTER,360368,OH,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-HIP-KNEE-HRRP,247,,5.1248,4.7611,14,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-AMI-HRRP,323,,18.0970,16.5034,64,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-PN-HRRP,469,,20.2185,19.3758,98,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-CABG-HRRP,140,,16.1697,13.2509,27,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-COPD-HRRP,404,,22.2485,21.7423,92,07/01/2017,12/01/2019
HILLCREST MEDICAL CENTER,370001,OK,READM-30-HF-HRRP,837,,24.5103,23.8555,207,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-COPD-HRRP,N/A,,15.2930,15.9005,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-HF-HRRP,N/A,,18.7125,19.6541,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-HIP-KNEE-HRRP,N/A,,4.2800,4.7155,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH WOODWARD,370002,OK,READM-30-PN-HRRP,121,,15.4804,15.6430,18,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-COPD-HRRP,91,,16.2096,16.3541,14,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-HIP-KNEE-HRRP,N/A,,7.7000,7.1158,Too Few to Report,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-PN-HRRP,170,,15.3162,14.6780,29,07/01/2017,12/01/2019
INTEGRIS MIAMI HOSPITAL,370004,OK,READM-30-HF-HRRP,71,,19.8332,19.5516,15,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-PN-HRRP,166,,15.6625,15.2243,28,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-HIP-KNEE-HRRP,N/A,,5.4505,4.6149,Too Few to Report,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-COPD-HRRP,124,,18.7668,18.8247,23,07/01/2017,12/01/2019
PONCA CITY MEDICAL CENTER,370006,OK,READM-30-HF-HRRP,109,,20.1702,19.8543,23,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-COPD-HRRP,559,,20.0210,19.3333,115,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-CABG-HRRP,N/A,,12.1708,12.5611,Too Few to Report,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-AMI-HRRP,250,,12.7277,14.0977,26,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-PN-HRRP,516,,16.3744,16.2572,85,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-HIP-KNEE-HRRP,550,,4.6145,4.4589,26,07/01/2017,12/01/2019
NORMAN REGIONAL,370008,OK,READM-30-HF-HRRP,328,,20.1082,21.3713,62,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-COPD-HRRP,174,,17.7747,19.0252,25,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-HF-HRRP,183,,22.9739,22.3124,44,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-PN-HRRP,766,,16.1612,16.5738,122,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-HIP-KNEE-HRRP,N/A,,3.7316,4.1540,Too Few to Report,07/01/2017,12/01/2019
"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-HIP-KNEE-HRRP,N/A,,4.9626,5.2481,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-AMI-HRRP,142,,18.7177,16.5554,34,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-PN-HRRP,339,,18.0514,16.6526,67,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-COPD-HRRP,372,,21.0729,20.2462,82,07/01/2017,12/01/2019
ALLIANCEHEALTH DURANT,370014,OK,READM-30-HF-HRRP,219,,23.4918,22.2872,55,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-HIP-KNEE-HRRP,N/A,,3.6199,4.0108,Too Few to Report,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-PN-HRRP,N/A,,12.9709,13.5821,Too Few to Report,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-COPD-HRRP,75,,18.7243,18.3064,16,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
HILLCREST HOSPITAL PRYOR,370015,OK,READM-30-HF-HRRP,60,,21.3727,21.3156,13,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-AMI-HRRP,N/A,,13.2829,13.2429,Too Few to Report,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-HIP-KNEE-HRRP,N/A,,5.3540,4.9593,Too Few to Report,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-PN-HRRP,187,,13.7987,15.6701,17,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-COPD-HRRP,159,,18.4053,19.1029,26,07/01/2017,12/01/2019
INTEGRIS BASS BAPTIST HEALTH CENTER,370016,OK,READM-30-HF-HRRP,137,,18.2552,20.6894,17,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-HF-HRRP,300,,22.2660,21.2110,70,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-AMI-HRRP,136,,14.2723,15.3951,15,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-COPD-HRRP,129,,17.0550,18.4952,15,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-HIP-KNEE-HRRP,N/A,,3.8042,4.1325,Too Few to Report,07/01/2017,12/01/2019
"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,READM-30-PN-HRRP,344,,14.0389,15.3784,42,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-COPD-HRRP,N/A,,17.0268,16.7271,Too Few to Report,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-PN-HRRP,186,,14.1133,15.6723,19,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-HF-HRRP,99,,20.2883,20.0032,21,07/01/2017,12/01/2019
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-HIP-KNEE-HRRP,N/A,,5.2340,5.2143,Too Few to Report,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-COPD-HRRP,110,,18.3324,19.0117,17,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-HF-HRRP,218,,20.3680,20.1815,45,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-HIP-KNEE-HRRP,N/A,,4.4787,4.6150,Too Few to Report,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
MERCY HOSPITAL ADA,370020,OK,READM-30-PN-HRRP,208,,16.3007,17.2175,30,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-COPD-HRRP,89,,17.2181,17.6885,13,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-PN-HRRP,195,,15.9348,14.6390,37,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-HF-HRRP,124,,20.4098,20.5075,25,07/01/2017,12/01/2019
JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,READM-30-HIP-KNEE-HRRP,N/A,,4.2336,4.5049,Too Few to Report,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-COPD-HRRP,241,,20.7135,19.5620,55,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-PN-HRRP,279,,15.8115,16.0643,43,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-HF-HRRP,228,,22.9886,21.7786,56,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,READM-30-HIP-KNEE-HRRP,316,,4.0454,4.4706,11,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-AMI-HRRP,120,,15.9757,16.0216,19,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-PN-HRRP,646,,16.8098,17.1842,107,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-HIP-KNEE-HRRP,N/A,,4.6374,4.5371,Too Few to Report,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-HF-HRRP,422,,23.0879,22.5554,99,07/01/2017,12/01/2019
SAINT FRANCIS HOSPITAL MUSKOGEE,370025,OK,READM-30-COPD-HRRP,344,,20.6811,19.8183,75,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-PN-HRRP,382,,16.7786,17.0369,63,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-AMI-HRRP,N/A,,17.7912,18.0039,Too Few to Report,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-HIP-KNEE-HRRP,N/A,,3.9404,4.3077,Too Few to Report,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-COPD-HRRP,161,,20.8877,21.7352,30,07/01/2017,12/01/2019
ST MARY'S REGIONAL MEDICAL CENTER,370026,OK,READM-30-HF-HRRP,288,,20.4229,22.6595,52,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-PN-HRRP,1003,,16.3568,17.0736,161,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-CABG-HRRP,178,,10.2125,11.3434,16,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-AMI-HRRP,417,,14.1671,14.9421,56,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-COPD-HRRP,490,,18.0760,19.0443,84,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-HIP-KNEE-HRRP,321,,4.9490,4.3979,18,07/01/2017,12/01/2019
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,OK,READM-30-HF-HRRP,691,,20.2696,21.8999,135,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-COPD-HRRP,N/A,,17.3453,17.6411,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-PN-HRRP,172,,13.3104,14.2957,18,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-HF-HRRP,N/A,,18.3407,18.1472,Too Few to Report,07/01/2017,12/01/2019
ALLIANCEHEALTH CLINTON,370029,OK,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-COPD-HRRP,53,,18.5219,18.0683,12,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-PN-HRRP,98,,15.4057,15.8700,13,07/01/2017,12/01/2019
STILLWATER MEDICAL-BLACKWELL,370030,OK,READM-30-HF-HRRP,N/A,,19.5323,19.2305,Too Few to Report,07/01/2017,12/01/2019
MCALESTER REGIONAL HEALTH CENTER,370034,OK,READM-30-AMI-HRRP,N/A,,14.9224,15.3994,Too Few to Report,07/01/2017,12/01/2019
